productCode,name,hexcode,imageUrl
1,01 Vintage Apple,#bf4145,https://res.cloudinary.com/dk85s3hmq/image/upload/v1746030314/51qCM5d_7GL._AC_UF1000_1000_QL80__au4miq.jpg
1,02 Summer Apricot,#eb6d54,https://res.cloudinary.com/dk85s3hmq/image/upload/v1746100791/61THKXci_kL_jqys0i.jpg
1,03 Blushed Peach,#ff668c,https://www.wcosmetics.com.au/cdn/shop/files/89b2c74f-b8d1-41b9-b4d4-0106e62e50e0.jpg?v=1688539914
2,02 Lingerie,#edd4c2,https://res.cloudinary.com/dk85s3hmq/image/upload/v1746101084/1_877ce463-8ed9-4870-84b1-fb95ad5d87b4_1000x_s9izoe.webp
2,03 Linen,#e8c9a7,https://res.cloudinary.com/dk85s3hmq/image/upload/v1746101152/2_823343d9-b789-4e32-b96c-a1231371d8b3_1000x_a5altt.webp
2,04 Ginger,#e6be97,https://clubclio.shop/cdn/shop/files/3_ee1e311f-5cea-4016-91a0-8e3669b4b2c9_1000x.jpg?v=1697290340
3,02 Lingerie,#edd4c2,https://clubclio.shop/cdn/shop/products/1333c4a3c54ceb722f5ebf04e9775a7b_1000x.jpg?v=1694597666
3,03 Linen,#e8c9a7,https://clubclio.shop/cdn/shop/products/076c92d42249feccb90d6e1e4f03b1f7_1000x.jpg?v=1694597666
3,04 Ginger,#e6be97,https://clubclio.shop/cdn/shop/products/826b569de53aca779a402c35c6263ad3_1000x.jpg?v=1694597666
4,19 Giant Apple,#de5f66,https://medias.watsons.com.sg/publishing/WTCSG-53254-side-zoom.jpg?version=1722899396
4,20 Fresh Apricot,#f27f6f,https://d2c3d01lcpw2ui.cloudfront.net/gl/data/item/1711609347/20aprocot.jpg?f=&w=500&h=500
4,21 Sugar Strawberry,#d94559,https://medias.watsons.com.sg/publishing/WTCSG-53256-side-zoom.jpg?version=1722899409
4,22 Red Flesh Plum,#cc4156,https://d2c3d01lcpw2ui.cloudfront.net/gl/data/item/1711609347/22red.jpg?f=
5,01 Coral Studio,#e8af92,https://luxiface.com/cdn/shop/files/clio-pro-eye-palette-air-7_2g-no_1-coral-studio-3.jpg?v=1699935112
5,02 Rose Connect,#e6a09a,https://www.koinshop.com/wp-content/uploads/2023/12/CLIO-Pro-Eye-Palette-Air-Rose-Connect-002-7.2g.jpg
5,03 Mute Library,#c29c99,https://www.skinsonata.com/cdn/shop/files/CLIO_ProEyePaletteAir-_03MuteLibrary-skin-sonata.jpg?v=1703236355
6,1.5 Fair,#f7e2d5,https://clubclio.shop/cdn/shop/products/1.5fair_e16ae3be-44f7-4f9e-8d39-1ac5a12cf0c7_1000x.jpg?v=1675410460
6,02 Lingerie,#f2dcce,https://clubclio.shop/cdn/shop/products/2lingerie_c68185ec-9e3c-46c3-bc57-9b4fb8bc7a81_1000x.jpg?v=1675410460
6,2.5 Ivory,#ebd6c0,https://clubclio.shop/cdn/shop/products/2.5ivory_71c170a8-132b-4d72-8b39-8f4604188231_1000x.jpg?v=1675410460
6,03 Linen,#f2d9bb,https://clubclio.shop/cdn/shop/products/3linen_1600ddd6-2917-47d3-b39c-1f2f8eeb6e16_1000x.jpg?v=1675410460
6,3.5 Vanilla,#fad8b9,https://clubclio.shop/cdn/shop/products/3.5vanilla_d92dce9e-4a19-4f62-a48e-c6309582fb2a_1000x.jpg?v=1675410460
6,04 Ginger,#edc29a,https://clubclio.shop/cdn/shop/products/4ginger_70d672e1-694d-4aa8-991f-fd9f9869cdb2_1000x.jpg?v=1675410460
7,00 Slim Fixing,#000000,https://clubclio.shop/cdn/shop/products/0slimfixing_1000x.jpg?v=1675651706
7,01 Long Curling,#000000,https://clubclio.shop/cdn/shop/products/1longcurling_1000x.jpg?v=1675651706
7,02 Volume Curling,#000000,https://clubclio.shop/cdn/shop/products/2volumecurling_1000x.jpg?v=1675651706
8,01 Black,#000000,https://clubclio.shop/cdn/shop/products/1black_1000x.jpg?v=1675042508
8,02 Brown,#4d2a16,https://clubclio.shop/cdn/shop/products/2brown_df1358d8-0c9c-4ddb-8ea9-b92a074587c3_1000x.jpg?v=1675042508
8,03 Cacao Brown,#875e4c,https://clubclio.shop/cdn/shop/products/3cacaobrown_1000x.jpg?v=1675042508
9,01 Black,#000000,https://clubclio.shop/cdn/shop/products/1black_edd900b2-17c1-4d75-af5d-35fa22e1b0ed_1000x.jpg?v=1676526842
9,02 Brown,#4d2a16,https://clubclio.shop/cdn/shop/products/2brown_16273a19-a923-4025-8dbd-f5521e3ad79a_1000x.jpg?v=1676526842
9,03 Cacao Brown,#6e4830,https://clubclio.shop/cdn/shop/products/3cacaobrown_ec5e09ce-b8a5-4d1a-bc2a-746682006ddd_1000x.jpg?v=1676526842
10,02 Coral Influencer,#f27872,https://clubclio.shop/cdn/shop/products/2coralinfluencer_1000x.jpg?v=1695713855
10,03 Rose In Mind,#f27272,https://clubclio.shop/cdn/shop/products/3roseinmind_1000x.jpg?v=1695713855
10,05 Cherry So What,#c44365,https://clubclio.shop/cdn/shop/products/5cherrysowhat_1000x.jpg?v=1695713855
11,01 Good Brick,#bf3934,https://clubclio.shop/cdn/shop/products/1goodbrick_1000x.jpg?v=1675134949
11,18 Star Plum Pink,#bf6373,https://clubclio.shop/cdn/shop/products/18starplumpink_1000x.jpg?v=1675134949
11,30 Classic Nude,#ad6555,https://clubclio.shop/cdn/shop/products/30classicnude_1000x.jpg?v=1675134949
12,02 Universal Coral,#de6d72,https://clubclio.shop/cdn/shop/products/01-02_1000x.jpg?v=1698396746
12,03 Emotional Pink,#bf3054,https://clubclio.shop/cdn/shop/products/01-03_1000x.jpg?v=1698396746
